Geo,Year,PropSovDvmtDiverted
12,2016,0.0
19,2016,0.0
18,2016,0.0
7,2016,0.0
15,2016,0.0
1,2016,0.0
14,2016,0.0
6,2016,0.0
13,2016,0.0
17,2016,0.0
4,2016,0.0
16,2016,0.0
5,2016,0.0
9,2016,0.0
10,2016,0.0
3,2016,0.0
11,2016,0.0
2,2016,0.0
8,2016,0.0
12,2035,0.01
19,2035,0.0
18,2035,0.01
7,2035,0.01
15,2035,0.01
1,2035,0.01
14,2035,0.02
6,2035,0.01
13,2035,0.0
17,2035,0.01
4,2035,0.0
16,2035,0.01
5,2035,0.0
9,2035,0.01
10,2035,0.01
3,2035,0.02
11,2035,0.02
2,2035,0.01
8,2035,0.01
